word,definition
"methyltestosterone","an androgenic compound contained in drugs that are used to treat testosterone deficiency and female breast cancer and to stimulate growth and weight gain"
"mucopolysaccharide","complex polysaccharides containing an amino group"
"noncomprehensively","in a limited way"
"nonprognosticative","not offering prognostications"
"noninterchangeable","such that the terms of an expression cannot be interchanged without changing the meaning"
"neuropsychological","of or concerned with neuropsychology"
"neurophysiological","of or concerned with neurophysiology"
"non-discrimination","fairness in treating people without prejudice"
"nitrochloromethane","gaseous form of chloropicrin used as tear gas"
"outward-developing","away from an axis, as in a flower cluster in which the oldest flowers are in the center, the youngest near the edge"
"overcapitalization","(business) too much capitalization (the sale of more stock than the business warrants)"
"overcapitalisation","(business) too much capitalization (the sale of more stock than the business warrants)"
"oversimplification","an act of excessive simplification"
"oversimplification","a simplification that goes too far (to the point of misrepresentation)"
"one-dimensionality","the property of having one dimension"
"one-ten-thousandth","one part in ten thousand equal parts"
"private-enterprise","subscribing to capitalistic competition"
"psychopathological","suffering from an undiagnosed mental disorder"
"pachycephalosaurus","bipedal herbivore having 10 inches of bone atop its head"
"polypropenonitrile","acrylic resin used to make a strong soft crease-resistant fabric (trade name Acrilan)"
"psychopharmacology","the study of drugs that affect the mind"
"psychotherapeutics","the branch of psychiatry concerned with psychological methods"
"palaeoanthropology","the scientific study of human fossils"
"pellitory-of-Spain","a small Mediterranean plant containing a volatile oil once used to relieve toothache"
"ring-around-a-rosy","a children's game in which the players dance around in a circle and at a given signal all squat"
"radiocommunication","medium for communication"
"rhinolaryngologist","a specialist in the disorders of the ear or nose or throat"
"spectrographically","by spectrographic means"
"Samoyedic-speaking","able to communicate in Samoyedic"
"self-contradictory","in disagreement"
"self-contradictory","seemingly contradictory but nonetheless possibly true"
"spur-of-the-moment","in response to an unforeseen need"
"self-gratification","the act of satisfying your own desires and giving yourself pleasure"
"self-gratification","indiscipline with regard to sensuous pleasures"
"self-mortification","voluntary self-punishment in order to atone for some wrongdoing"
"sentimentalization","the act of indulging in sentiment"
"sentimentalisation","the act of indulging in sentiment"
"serious-mindedness","the trait of being serious"
"self-assertiveness","aggressive self-assurance"
"self-determination","determination of one's own fate or course of action without compulsion"
"self-determination","government of a political unit by its own people"
"self-consciousness","self-awareness plus the additional realization that others are similarly aware of you"
"self-consciousness","embarrassment deriving from the feeling that others are critically aware of you"
"self-contemplation","the contemplation of your own thoughts and desires and conduct"
"self-justification","a defense of some offensive behavior or some failure to keep a promise etc."
"self-contradiction","contradicting yourself"
"self-incrimination","an accusation that incriminates yourself"
"self-fertilization","fertilization by the union of male and female gametes from the same individual"
"self-fertilisation","fertilization by the union of male and female gametes from the same individual"
"twopenny-halfpenny","of trifling worth"
"transmogrification","the act of changing into a different form or appearance (especially a fantastic or grotesque one)"
"trente-et-quarante","a card game in which two rows of cards are dealt and players can bet on the color of the cards or on which row will have a count nearer some number"
"territorialization","the act of organizing as a territory"
"territorialisation","the act of organizing as a territory"
"transubstantiation","an act that changes the form or character or substance of something"
"transubstantiation","the Roman Catholic doctrine that the whole substance of the bread and the wine changes into the substance of the body and blood of Christ when consecrated in the Eucharist"
"tetrachlorethylene","anthelmintic agent used against hookworm and other nematodes"
"trichlormethiazide","diuretic drug (trade name Naqua) used to treat hypertension"
"two-dimensionality","the property of having two dimensions"
"tetraiodothyronine","hormone produced by the thyroid glands to regulate metabolism by controlling the rate of oxidation in cells"
"tetrachloromethane","a colorless nonflammable liquid used as a solvent for fats and oils"
"triphosphopyridine","a pyridine ring with three phosphorus groups"
"unconstitutionally","in an unconstitutional manner"
"unenthusiastically","without enthusiasm"
"upper-middle-class","occupying the upper part of the middle socioeconomic range in a society"
"ultranationalistic","fanatically patriotic"
"unquestionableness","the quality of being beyond question or dispute or doubt"
"unsatisfactoriness","the quality of being inadequate or unsuitable"
