word,definition
"allelomorphic","of or relating to alleles"
"anencephalous","characterized by partial or total absence of a brain"
"angiospermous","of or related to or characteristic of plants that are angiosperms"
"antiapartheid","opposing the policy of apartheid in South Africa"
"antipollution","intended to reduce pollution"
"antisatellite","of or relating to a system to destroy satellites in orbit"
"adventuristic","of or pertaining to adventurism"
"anisometropic","relating to a difference in the refractive power of the two eyes"
"apoplectiform","resembling apoplexy"
"arundinaceous","of or relating to or resembling reedlike plants of the genus Arundinaria"
"award-winning","having received awards"
"appropriative","of or relating to or given to the act of taking for yourself"
"associational","of or relating to associations or associationism"
"astronautical","of or belonging to astronauts or the science of astronautics"
"arbitrational","relating to or resulting from arbitration"
"archeological","related to or dealing with or devoted to archaeology"
"archangelical","of or relating to or resembling archangels"
"archidiaconal","of or relating to an archdeacon or his office"
"archepiscopal","of or associated with an archbishop"
"autocatalytic","relating to or proceeding by autocatalysis"
"arteriovenous","connecting an artery to a vein"
"arthrosporous","of or relating to arthrospores"
"atmospherical","relating to or located in the atmosphere"
"antibacterial","destroying bacteria or inhibiting their growth"
"antibacterial","any drug that destroys bacteria or inhibits their growth"
"astrophysical","of or concerned with astrophysics"
"architectural","of or pertaining to the art and science of architecture"
"architectonic","of or pertaining to construction or architecture"
"anti-American","opposed to the United States and its policies"
"anti-American","a person who is opposed to the United States and its policies"
"ambassadorial","of or relating to or characteristic of ambassadors"
"audio-lingual","of or relating to a method of teaching language that focuses on listening and speaking"
"acculturative","of or relating to acculturation"
"appropriation","a deliberate act of acquisition of something, often without the permission of the owner"
"appropriation","incorporation by joining or uniting"
"appropriation","money set aside (as by a legislature) for a specific purpose"
"approximation","the act of bringing near or bringing together especially the cut edges of tissue"
"approximation","the quality of coming near to identity (especially close in quantity)"
"approximation","an approximate calculation of quantity or degree or worth"
"approximation","an imprecise or incomplete account"
"accommodation","(physiology) the automatic adjustment in focal length of the natural lens of the eye"
"accommodation","the act of providing something (lodging or seat or food) to meet a need"
"accommodation","living quarters provided for public convenience"
"accommodation","in the theories of Jean Piaget: the modification of internal representations in order to accommodate a changing knowledge of reality"
"accommodation","a settlement of differences"
"accommodation","making or becoming suitable"
"assassination","murder of a public figure by surprise attack"
"assassination","an attack intended to ruin someone's reputation"
"animalization","an act that makes people cruel or lacking normal human qualities"
"animalization","a depiction in the form of an animal"
"animalisation","an act that makes people cruel or lacking normal human qualities"
"amplification","(electronics) the act of increasing voltage or power or current"
"amplification","addition of extra material or illustration or clarifying detail"
"amplification","the amount of increase in signal power or voltage or current expressed as the ratio of output to input"
"afforestation","the conversion of bare or cultivated land into forest (originally for the purpose of hunting)"
"anthropophagy","human cannibalism"
"associateship","the position of associate (as in an office or academy)"
"adenoidectomy","surgical removal of the adenoids"
"adrenalectomy","surgical removal of one or both adrenal glands"
"actinotherapy","(medicine) the treatment of disease (especially cancer) by exposure to a radioactive substance"
"accompaniment","the act of accompanying someone or something in order to protect them"
"accompaniment","something added to complete or embellish or make perfect"
"accompaniment","a musical part (vocal or instrumental) that supports or provides background for other musical parts"
"accompaniment","an event or situation that happens at the same time as or in connection with another"
"arboriculture","the cultivation of tree for the production of timber"
"arteriography","roentgenographic examination of arteries"
"amniocentesis","(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities"
"actualization","making real or giving the appearance of reality"
"actualisation","making real or giving the appearance of reality"
"agglomeration","the act of collecting in a mass"
"agglomeration","a jumbled collection or mass"
"anthropometry","measurement and study of the human body and its parts and capacities"
"aerophilately","the collection and study of airmail stamps"
"anthropolatry","the worship of human beings"
"apportionment","the act of distributing by allotting or apportioning"
"administrivia","the tiresome but essential details that must be taken care of and tasks that must be performed in running an organization"
"authorization","the act of conferring legality or sanction or formal warrant"
"authorization","official permission or approval"
"authorization","the power or right to give orders or make decisions"
"authorization","a document giving an official instruction or command"
"authorisation","the act of conferring legality or sanction or formal warrant"
"authorisation","official permission or approval"
"authorisation","the power or right to give orders or make decisions"
"authorisation","a document giving an official instruction or command"
"acculturation","the adoption of the behavior patterns of the surrounding culture"
"acculturation","the process of assimilating new ideas into an existing cognitive structure"
"acculturation","all the knowledge and values shared by a society"
"accreditation","the act of granting credit or recognition, especially with respect to educational institution that maintains suitable standards"
"anomalopteryx","the smallest moa"
"archaeopteryx","extinct primitive toothed bird of the Jurassic period having a long feathered tail and hollow bones"
"argentinosaur","huge herbivorous dinosaur of Cretaceous found in Argentina"
"affenpinscher","European breed of small dog resembling a terrier with dark wiry hair and a tufted muzzle"
"alligatorfish","small very elongate sea poachers"
"acetaminophen","an analgesic for mild pain but not for inflammation"
"accelerometer","an instrument for measuring the acceleration of aircraft or rockets"
"alpha-blocker","any of various drugs that block alpha-adrenergic receptors"
"aminophylline","a theophylline derivative that is used as a bronchodilator in the treatment of bronchial asthma, emphysema, and bronchitis"
"amitriptyline","a tricyclic antidepressant drug (trade name Elavil) with serious side effects"
"anticoagulant","medicine that prevents or retards the clotting of blood"
"antiepileptic","a drug used to treat or prevent convulsions (as in epilepsy)"
"antidiarrheal","a drug used to control or stop diarrhea"
"antiflatulent","any agent that reduces intestinal gas"
"antihistamine","a medicine used to treat allergies and hypersensitive reactions and colds"
"antiprotozoal","a medicinal drug used to fight diseases (like malaria) that are caused by protozoa"
"antispasmodic","a drug used to relieve or prevent spasms (especially of the smooth muscles)"
"audiocassette","a cassette for audiotape"
"antipsychotic","tranquilizer used to treat psychotic conditions when a calming effect is desired"
"aerogenerator","generator that extracts usable energy from winds"
"agreeableness","a temperamental disposition to be agreeable"
"agreeableness","pleasantness resulting from agreeable conditions"
"answerability","responsibility to someone or for some activity"
"arbitrariness","the trait of acting unpredictably and more from whim or caprice than from reason or judgment"
"attentiveness","the trait of being observant and paying attention"
"attentiveness","the trait of being considerate and thoughtful of others"
"attentiveness","paying particular notice"
"accessibility","the attribute of being easy to meet or deal with"
"accessibility","the quality of being at hand when needed"
"appealingness","attractiveness that interests or pleases or stimulates"
"associability","the capability of being easily associated or joined or connected in thought"
"availableness","the quality of being at hand when needed"
"admirableness","admirable excellence"
"artificiality","the quality of being produced by people and not occurring naturally"
"acceptability","satisfactoriness by virtue of conforming to approved standards"
"admissibility","acceptability by virtue of being admissible"
"ambitiousness","a strong drive for success"
"atrociousness","the quality of being shockingly cruel and inhumane"
"audaciousness","aggressive boldness or unmitigated effrontery"
"audaciousness","fearless daring"
"assiduousness","great and constant diligence and attention"
"achromaticity","the visual property of being without chromatic color"
"assailability","vulnerability to forceful attack"
"ambidexterity","the property of being equally skillful with each hand"
"assertiveness","aggressive self-assurance"
"analphabetism","an inability to read"
"acidulousness","the taste experience when something acidic is taken into the mouth"
"argumentation","a course of reasoning aimed at demonstrating a truth or falsehood"
"argumentation","a discussion in which reasons are advanced for and against some proposition or proposal"
"anthroposophy","a system of beliefs and practices based on the philosophy of Rudolf Steiner"
"astrodynamics","the branch of astronomy that studies the motion of natural and artificial bodies in space"
"aeromechanics","the branch of mechanics that deals with the motion of gases (especially air) and their effects on bodies in the flow"
"antinomianism","the theological doctrine that by faith and God's grace a Christian is freed from all laws (including the moral standards of the culture)"
"anti-Semitism","the intense dislike for and prejudice against Jewish people"
"antepenultima","the 3rd syllable of a word counting back from the end"
"autobiography","a biography of yourself"
"alphanumerics","a character set that includes letters and digits and punctuation"
"animadversion","harsh criticism or disapproval"
"antilogarithm","the number of which a given number is the logarithm"
"advertisement","a public promotion of some product or service"
"advertizement","a public promotion of some product or service"
"armamentarium","the collection of equipment and methods used in the practice of medicine"
"al-Muhajiroun","a hard-line extremist Islamic group in Great Britain who support bin Laden and other terrorist groups"
"archbishopric","the territorial jurisdiction of an archbishop"
"asthenosphere","the lower layer of the crust"
"archimandrite","the superior of an abbey of monks"
"agriculturist","someone concerned with the science or art or business of cultivating the soil"
"administrator","someone who manages a government agency or department"
"administrator","the party appointed by a probate court to distribute the estate of someone who dies without a will or without naming an executor"
"administrator","someone who administers a business"
"assemblywoman","a woman assemblyman"
"authenticator","one who determines authenticity (as of works of art) or who guarantees validity"
"archaeologist","an anthropologist who studies prehistoric people and their culture"
"arithmetician","someone who specializes in arithmetic"
"auto-mechanic","someone whose occupation is repairing and maintaining automobiles"
"aeschynanthus","a plant of the genus Aeschynanthus having somewhat red or orange flowers and seeds having distinctive hairs at base and apex"
"Anglicization","the act of anglicizing"
"Anglicisation","the act of anglicizing"
"autocatalysis","catalysis in which the catalyst is one of the products of the reaction"
"acidification","the process of becoming acid or being converted into an acid"
"agglutination","the building of words from component morphemes that retain their form and meaning in the process of combining"
"agglutination","the coalescing of small particles that are suspended in solution"
"ampere-second","a unit of electrical charge equal to the amount of charge transferred by a current of 1 ampere in 1 second"
"ampere-minute","a unit of charge equal to 60 coulombs"
"applicability","relevance by virtue of being applicable to the matter at hand"
"arteriectasis","an abnormal distension of an artery"
"arteriectasia","an abnormal distension of an artery"
"aspergillosis","disease especially in agricultural workers caused by inhalation of Aspergillus spores causing lumps in skin and ears and respiratory organs"
"aspergillosis","an opportunistic infection by a fungus of the genus Aspergillus"
"aspergillosis","severe respiratory disease of birds that takes the form of an acute rapidly fatal pneumonia in young chickens and turkeys"
"analbuminemia","an abnormally low level of albumin in the blood serum"
"astereognosis","a loss of the ability to recognize objects by handling them"
"anorthography","a loss of the ability to write or to express thoughts in writing because of a brain lesion"
"aldosteronism","a condition caused by overproduction of aldosterone"
"atherogenesis","the formation of atheromas on the walls of the arteries as in atherosclerosis"
"actinomycosis","disease of cattle that can be transmitted to humans"
"aminoaciduria","abnormal presence of amino acids in the urine"
"aerodontalgia","pain in the teeth that results from a change in air pressure (as in flying or mountain climbing)"
"arachnophobia","a morbid fear of spiders"
"ankyloglossia","a congenital anomaly in which the mucous membrane under the tongue is too short limiting the mobility of the tongue"
"achievability","the state of being achievable"
"attainability","the state of being achievable"
"anomalousness","deviation from the normal or common order or form or rule"
"anisometropia","difference in the refractive power of the two eyes"
"amphidiploidy","the condition of being amphidiploid"
"airworthiness","fitness to fly"
"anthophyllite","a dark brown mineral of the amphibole group"
"adrenosterone","a steroid having androgenic activity"
"acetylcholine","a neurotransmitter that is a derivative of choline"
"acrylonitrile","a colorless liquid unsaturated nitrile made from propene"
"antisepticize","to disinfect with an antiseptic"
"antisepticise","to disinfect with an antiseptic"
"anagrammatize","to read letters out of order to discover a hidden meaning"
"anagrammatise","to read letters out of order to discover a hidden meaning"
"air-condition","to equip with an apparatus for controlling the humidity and temperature"
"air-condition","to control the humidity and temperature of"
"biochemically","with respect to biochemistry"
"bewilderingly","in a bewildering and confusing manner"
"belligerently","with hostility"
"blasphemously","in a blasphemous manner"
"bombastically","in a grandiose manner"
"bombastically","in a turgid manner"
"bloodcurdling","extremely alarming"
"bidirectional","reactive or functioning or allowing movement in two usually opposite directions"
"bloody-minded","marked by eagerness to resort to violence and bloodshed"
"bloody-minded","stubbornly obstructive and unwilling to cooperate"
"brachycranial","having a short broad head with a cephalic index of over 80"
"bullet-headed","having a small round head"
"bullet-headed","obstinate and stupid"
"bluish-purple","of purple tinged with blue"
"bluish-violet","of violet tinted with blue"
"blackish-grey","of dark grey"
"blackish-gray","of dark grey"
"brownish-grey","of grey tinged with brown"
"brownish-gray","of grey tinged with brown"
"blue-flowered","having blue flowers"
"buff-coloured","having a buff color"
"bare-breasted","having the breasts uncovered or featuring such nudity"
"broken-backed","(of a ship) so weakened as to sag at each end"
"broken-backed","having the spine damaged"
"broken-backed","(of a horse) having bones of the back united by a bony growth"
"buttoned-down","unimaginatively conventional"
"beetle-browed","sullen or unfriendly in appearance"
"brokenhearted","full of sorrow"
"bare-knuckled","characterized by disorderly action and disregard for rules"
"brown-striped","having brown stripes"
"biodegradable","capable of being decomposed by e.g. bacteria"
"black-and-tan","having a pattern of black and tan"
"blood-related","related by blood"
"barrel-shaped","having the general shape of a barrel"
"basket-shaped","shaped like a basket"
"bottle-shaped","shaped like a bottle"
"button-shaped","shaped like a button"
"bell-bottomed","having legs that flare at the bottom"
"broad-brimmed","(of hats) having a broad brim"
"brachypterous","(especially of certain insects) having very short or rudimentary wings"
"bacteriolytic","of or relating to or causing bacteriolysis"
"bathymetrical","of or relating to measurements of the depths of oceans or lakes"
"behavioristic","of or relating to behaviorism"
"bibliographic","relating to or dealing with bibliography"
"bibliolatrous","given to Bible-worship"
"bignoniaceous","of or pertaining to or characteristic of plants of the family Bignoniaceae"
"bimetallistic","pertaining to a monetary system based on two metals"
"biogeographic","of or relating to or involved with biogeography"
"biosystematic","of or relating to biosystematics"
"blastogenetic","of or relating to blastogenesis"
"brachiopodous","of or belonging to the phylum Brachiopoda"
"branchiopodan","of or relating to or characteristic of the subclass Branchiopoda"
"branchiopodan","aquatic crustaceans typically having a carapace and many pairs of leaflike appendages used for swimming as well as respiration and feeding"
"bicylindrical","having two cylindrical surfaces usually with parallel axes"
"bacteriologic","of or relating to bacteriology"
"blastomycotic","of or relating to or characteristic of blastomycosis"
"blastospheric","of or relating to a blastula"
"bronchoscopic","of or relating to an instrument for examining the interior of the bronchi"
"brutalization","an act that makes people cruel or lacking normal human qualities"
"brutalization","the activity of treating someone savagely or viciously"
"brutalization","the condition of being treated in a cruel and savage manner"
"brutalisation","an act that makes people cruel or lacking normal human qualities"
"brutalisation","the activity of treating someone savagely or viciously"
"brutalisation","the condition of being treated in a cruel and savage manner"
"barbarization","an act that makes people primitive and uncivilized"
"barbarisation","an act that makes people primitive and uncivilized"
"buck-and-wing","a solo tap dance emphasizing sharp taps"
"beatification","(Roman Catholic Church) an act of the Pope who declares that a deceased person lived a holy life and is worthy of public veneration"
"beatification","the action of rendering supremely blessed and extremely happy"
"beatification","a state of supreme happiness"
"brainstorming","a group problem-solving technique in which members spontaneously share ideas and solutions"
"bottom-feeder","a fish that lives and feeds on the bottom of a body of water"
"bottom-feeder","a scavenger that feeds low on the food chain"
"bacteriophage","a virus that is parasitic (reproduces itself) in bacteria"
"butterflyfish","tropical fish with huge fanlike pectoral fins for underwater gliding"
"backscratcher","a long-handled scratcher for scratching your back"
"backscratcher","someone who is willing to trade favors or services for mutual advantage"
"boardinghouse","a private house that provides accommodations and meals for paying guests"
"bellicoseness","a natural disposition to fight"
"beauteousness","the quality of being good looking and attractive"
"believability","the quality of being believable or trustworthy"
"barbarousness","the quality of being shockingly cruel and inhumane"
"bounteousness","generosity evidenced by a willingness to give freely"
"brand-newness","the property of being very new"
"breakableness","the consistency of something that breaks under pressure"
"bountifulness","the property of copious abundance"
"bumptiousness","offensive boldness and assertiveness"
"boundlessness","the quality of being infinite"
"brachycephaly","the quality of being brachycephalic"
"blastogenesis","theory that inherited characteristics are transmitted by germ plasm"
"biostatistics","a branch of biology that studies biological phenomena and observations by means of statistical analysis"
"biotechnology","the branch of engineering science in which biological science is used to study the relation between workers and their environments"
"biotechnology","the branch of molecular biology that studies the use of microorganisms to perform specific industrial processes"
"boustrophedon","an ancient writing system: having alternate lines written in opposite directions"
"banning-order","an order that bans something"
"baccalaureate","an academic degree conferred on someone who has successfully completed undergraduate studies"
"baccalaureate","a farewell sermon to a graduating class at their commencement ceremonies"
"boogie-woogie","an instrumental version of the blues, especially for piano"
"bouillabaisse","highly seasoned Mediterranean soup or stew made of several kinds of fish and shellfish with tomatoes and onions or leeks and seasoned with saffron and garlic and herbs"
"bureaucratism","nonelective government officials"
"bibliographer","someone trained in compiling bibliographies"
"businesswoman","a female businessperson"
"breaststroker","someone who swims the breaststroke"
"butterfingers","someone who drops things, especially one who cannot catch a ball"
"broker-dealer","a financial specialist who trades for his own account and so acts both as a broker and principal"
"birefringence","splitting a ray into two parallel rays polarized perpendicularly"
"butter-flower","any of various plants of the genus Ranunculus"
"bougainvillea","any of several South American ornamental woody vines of the genus Bougainvillea having brilliant red or purple flower bracts"
"bridal-wreath","shrub having copious small white flowers in spring"
"bridal-wreath","Chilean evergreen shrub having delicate spikes of small white flowers"
"basidiomycete","any of various fungi of the subdivision Basidiomycota"
"basidiolichen","a lichen in which the fungus component is a basidiomycete"
"backgrounding","the execution of low priority programs while higher priority programs are not using the processing system"
"bacteriolysis","dissolution or destruction of bacteria"
"beneficiation","crushing and separating ore into valuable substances or waste by any of a variety of techniques"
"blamelessness","a state of innocence"
"brachydactyly","abnormal shortness of fingers and toes"
"blastomycosis","any of several infections of the skin or mucous membrane caused by Blastomyces"
"bronchiolitis","inflammation of the membranes lining the bronchioles"
"blepharospasm","spasm of the eyelid muscle resulting in closure of the eye"
"beta-carotene","an isomer of carotene that is found in dark green and dark yellow fruits and vegetables"
"conjecturally","in a manner involving or inclined to conjecture and supposition"
"consecutively","in a consecutive manner"
"coterminously","in a coterminous manner"
"chromatically","with respect to color"
"catalytically","by catalytic action"
"contractually","by virtue of a contract"
"categorically","in an unqualified manner"
"comparatively","in a relative manner"
"cooperatively","in close cooperation"
"considerately","in a considerate manner"
"conspicuously","in a prominent way"
"conspicuously","in a manner tending to attract attention"
"ceremoniously","in a ceremonious manner"
"chock-a-block","as completely as possible"
"competitively","in competition"
"captivatingly","in a bewitching manner"
"circumspectly","in a cagey manner"
"conditionally","subject to a condition"
"cross-country","across the countryside"
"cross-country","not following tracks or roads"
"complainingly","with complaints"
"contrastingly","in a contrasting manner"
"constrainedly","in a constrained manner"
"calculatingly","in a calculating manner"
"chemisorptive","having the capacity to adsorb by chemical as contrasted with physical forces"
"chemosorptive","having the capacity to adsorb by chemical as contrasted with physical forces"
"counteractive","opposing or neutralizing or mitigating an effect by contrary action"
"complementary","acting as or providing a complement (something that completes the whole)"
"complementary","of words or propositions so related that each is the negation of the other"
"complementary","either one of two chromatic colors that when mixed together give white (in the case of lights) or grey (in the case of pigments)"
"coarse-haired","having coarse hair or fur"
"coarse-furred","having coarse hair or fur"
"creepy-crawly","causing a sensation as of things crawling on your skin"
"creepy-crawly","an animal that creeps or crawls (such as worms or spiders or insects)"
"closed-minded","not ready to receive to new ideas"
"collectivized","subscribing to the socialistic doctrine of ownership by the people collectively"
"collectivized","characterized by the principle of ownership by the state or the people of the means of production"
"collectivised","subscribing to the socialistic doctrine of ownership by the people collectively"
"collectivised","characterized by the principle of ownership by the state or the people of the means of production"
"clinker-built","having overlapping hull planks"
"conscientious","characterized by extreme care and great effort"
"conscientious","guided by or in accordance with conscience or sense of right and wrong"
"consolidative","tending to consolidate"
"consolidative","combining into a single unit"
"compartmented","divided up or separated into compartments or isolated units"
"compartmental","divided up into compartments or categories"
"credentialled","certified as professional by evidence or testimonials"
"canary-yellow","having the color of a canary"
"creamy-yellow","yellow with a creamy tinge"
"charcoal-grey","of a very dark grey"
"charcoal-gray","of a very dark grey"
"chukker-brown","snuff colored"
"cottony-white","of something as white as cotton"
"cream-colored","having the color of fresh cream"
"contaminating","spreading pollution or contamination"
"contaminating","that infects or taints"
"combinatorial","relating to the combination and arrangement of elements in sets"
"combinatorial","relating to or involving combinations"
"combinational","able to or tending to combine"
"commensurable","capable of being measured by a common standard"
"cloud-covered","filled or abounding with clouds"
"communicative","able or tending to transmit thoughts or feelings"
"communicative","of or relating to communication"
"communicatory","able or tending to communicate"
"compassionate","showing or having compassion"
"compassionate","to share the suffering of"
"comprehensive","including all or everything"
"comprehensive","broad in scope"
"comprehensive","an intensive examination testing a student's proficiency in some special field of knowledge"
"contradictory","unable to be both true at the same time"
"contradictory","in disagreement"
"contradictory","that confounds or contradicts or confuses"
"contradictory","of words or propositions so related that both cannot be true and both cannot be false"
"contradictory","two propositions are contradictories if both cannot be true (or both cannot be false) at the same time"
"consentaneous","in complete agreement"
"challengeable","capable of being challenged"
"controversial","marked by or capable of arousing controversy"
"collaborative","accomplished by collaboration"
"connotational","of or relating to a connotation"
"clear-sighted","mentally acute or penetratingly discerning"
"clear-sighted","having sharp clear vision"
"counterpoised","brought into equipoise by means of a weight or force that offsets another"
"complimentary","conveying or resembling a compliment"
"complimentary","costing nothing"
"curly-grained","of timber"
"cross-grained","of timber"
"cross-grained","difficult to deal with"
"carpetbagging","presumptuously seeking success or a position in a new locality"
"candy-scented","smelling of candy"
"cedar-scented","smelling like cedar"
"clove-scented","smelling of clove"
"clean-burning","leaving little contamination while consuming fuel"
"case-hardened","used of persons"
"calorifacient","producing heat"
"consequential","having important issues or results"
"coeducational","a female student at a coeducational college or university"
"compositional","arranging or grouping"
"court-ordered","ordered by a court of law"
"close-fitting","fitting closely but comfortably"
"cross-section","representing a plane made by cutting across something at right angles to its length"
"characterless","lacking distinct or individual characteristics"
"cut-and-dried","according to ordinary expectations"
"cata-cornered","slanted across a polygon on a diagonal line"
"contraceptive","capable of preventing conception or impregnation"
"contraceptive","an agent or device intended to prevent conception"
"consanguineal","related by blood"
"corresponding","accompanying"
"corresponding","conforming in every respect"
"corresponding","similar especially in position or purpose"
"circumscribed","subject to limits or subjected to limits"
"cookie-cutter","having the same appearance (as if mass-produced)"
"country-style","typical of the country"
"correspondent","similar or equivalent in some respects though otherwise dissimilar"
"correspondent","someone who communicates by means of letters"
"correspondent","a journalist employed to provide news stories for newspapers or broadcast media"
"contaminative","making impure by contact or mixing"
"close-grained","dense or compact in structure or texture, as a wood composed of small-diameter cells"
"circular-knit","knitted in tubular form"
"companionable","suggestive of companionship"
"condescending","behavioral characteristic of those who treat others with condescension or disdain"
"commiserative","feeling or expressing sympathy"
"certificatory","serving to certify or endorse authoritatively"
"corroborative","serving to support or corroborate"
"corroboratory","serving to support or corroborate"
"cliff-hanging","(of a situation) characterized by or causing suspense"
"contemplative","deeply or seriously thoughtful"
"contemplative","a person devoted to the contemplative life"
"cartilaginous","difficult to chew"
"cartilaginous","of or relating to cartilage"
"confederative","united in a confederacy or league"
"contralateral","on or relating to the opposite side, usually referring to the body"
"categorematic","of a term or phrase capable of standing as the subject or (especially) the predicate of a proposition"
"callithumpian","of or relating to a callithump"
"camphoraceous","being or having the properties of camphor"
"cleistogamous","exhibiting or relating to cleistogamy"
"cloven-hoofed","of or relating to the cloven feet of ruminants or swine"
"cerebrospinal","of or relating to the brain and spinal cord"
"chaetognathan","of or relating to arrowworms"
"carcinomatous","being or relating to carcinoma"
"cardiographic","of or relating to a cardiograph"
"coreferential","relating to coreference"
"correlational","relating to or employing correlation"
"cryptanalytic","of or relating to cryptanalysis"
"cryptographic","of or relating to cryptanalysis"
"cryptological","of or relating to cryptanalysis"
"cloven-footed","of or relating to the cloven feet of ruminants or swine"
"cytoplasmatic","of or relating to cytoplasm"
"coin-operated","of devices that do not operate without the prior insertion of one or more coins"
"cytogenetical","of or relating to cytogenetics"
"counterterror","intended to prevent terrorism"
"carboniferous","relating to or consisting of or yielding carbon"
"carboniferous","of or relating to the Carboniferous geologic era"
"client-server","relating to a computer system in which a central server supports a number of networked workstations"
"computational","of or involving computation or computers"
"choreographic","of or concerned with choreography"
"Calvinistical","of or relating to or characteristic of Calvinism or its adherents"
"chronological","relating to or arranged according to temporal order"
"congressional","of or relating to congress"
"commemorative","intended as a commemoration"
"commemorative","an object (such as a coin or postage stamp) made to mark an event or honor a person"
"commemorating","intended as a commemoration"
"cannibalistic","characteristic of cannibals or exhibiting cannibalism"
"communication","something that is communicated by or to or between people or groups"
"communication","the activity of communicating"
"communication","a connection allowing access between persons or places"
"concatenation","the act of linking together as in a series or chain"
"concatenation","a series of things depending on each other as if linked together"
"concatenation","the linking together of a consecutive series of symbols or events or ideas etc"
"concatenation","the state of being linked together as in a chain"
"certification","validating the authenticity of something or someone"
"certification","the act of certifying or bestowing a franchise on"
"certification","a document attesting to the truth of certain stated facts"
"certification","confirmation that some fact or statement is true through the use of documentary evidence"
"chance-medley","an unpremeditated killing of a human being in self defense"
"counteraction","action intended to nullify the effects of some previous action"
"contamination","the act of contaminating or polluting"
"contamination","the state of being contaminated"
"contamination","a substance that contaminates"
"clarification","the act of removing solid particles from a liquid"
"clarification","an interpretation that removes obstacles to understanding"
"cannulization","the insertion of a cannula or tube into a hollow body organ"
"cannulisation","the insertion of a cannula or tube into a hollow body organ"
"circumduction","a circular movement of a limb or eye"
"concentration","strengthening the concentration (as of a solute in a mixture) by removing diluting material"
"concentration","bringing together military forces"
"concentration","great and constant diligence and attention"
"concentration","the strength of a solution"
"concentration","the spatial property of being crowded together"
"concentration","complete attention"
"concentration","increase in density"
"confectionery","the occupation and skills of a confectioner"
"confectionery","a confectioner's shop"
